source_standard_job,role_id,specialization,requires_jd_validation
大模型算法工程师,llm_algorithm,大语言模型,false
AI Agent算法工程师,agent_algorithm,智能体算法,false
大模型应用工程师,llm_application,大模型应用,false
AI Agent应用工程师,agent_application,智能体应用,false
AI应用工程师,ai_application,通用AI应用,true
AI安全工程师,ai_security_engineering,AI安全,false
AI Infra工程师,ai_platform_infra,机器学习系统,false
AIGC算法工程师,aigc_algorithm,生成式内容,false
多模态算法工程师,multimodal_algorithm,多模态,false
NLP算法工程师,nlp_algorithm,自然语言处理,false
计算机视觉算法工程师,cv_algorithm,计算机视觉,false
语音算法工程师,speech_algorithm,语音,false
推荐算法工程师,recommendation_algorithm,推荐,false
搜索算法工程师,search_algorithm,搜索,false
广告算法工程师,advertising_algorithm,广告,false
风控算法工程师,risk_algorithm,风险控制,false
机器学习算法工程师,ml_algorithm,机器学习,false
数据挖掘算法工程师,data_mining_algorithm,数据挖掘,false
算法研究员,algorithm_research,算法研究,false
算法工程师,general_algorithm,通用算法,true
后端开发工程师,backend_engineering,服务端,false
前端开发工程师,frontend_engineering,前端,false
全栈开发工程师,fullstack_engineering,全栈,true
Java开发工程师,backend_engineering,Java,false
C++开发工程师,backend_engineering,C++,true
Python开发工程师,backend_engineering,Python,true
Go开发工程师,backend_engineering,Go,false
客户端开发工程师,client_engineering,客户端,false
Android开发工程师,client_engineering,Android,false
iOS开发工程师,client_engineering,iOS,false
系统软件工程师,system_software,系统软件,false
嵌入式软件工程师,embedded_software,嵌入式,false
驱动开发工程师,driver_software,驱动,false
软件架构师,software_architecture,软件架构,true
软件开发工程师,general_software_engineering,通用软件,true
大数据开发工程师,data_engineering,大数据,false
数据开发工程师,data_engineering,数据开发,false
数据仓库工程师,data_warehouse,数据仓库,false
数据平台工程师,data_platform,数据平台,false
数据治理工程师,data_governance,数据治理,false
数据分析师,data_analysis,数据分析,true
数据工程师,data_engineering,数据工程,false
大模型测试工程师,model_testing,大模型评测,false
测试开发工程师,test_development,测试开发,false
质量工程师,quality_engineering,质量工程,false
测试工程师,software_testing,软件测试,false
DevOps工程师,devops_engineering,DevOps,false
运维工程师,operations_engineering,运维,false
云计算工程师,cloud_engineering,云计算,false
网络安全工程师,cybersecurity_engineering,网络安全,false
信息安全工程师,cybersecurity_engineering,信息安全,false
安全工程师,cybersecurity_engineering,通用安全,true
网络工程师,network_engineering,网络,false
数据库工程师,database_engineering,数据库,false
服务器工程师,server_engineering,服务器,false
技术支持工程师,technical_support,技术支持,true
解决方案工程师,solution_engineering,解决方案,true
机器人算法工程师,robotics_algorithm,机器人算法,false
机器人软件工程师,robotics_software,机器人软件,false
自动驾驶算法工程师,autonomous_driving_algorithm,自动驾驶,false
控制算法工程师,control_algorithm,控制,false
图形图像工程师,graphics_engineering,图形图像,false
音视频工程师,audio_video_engineering,音视频,false
通信工程师,communication_engineering,通信,false
芯片设计工程师,chip_design,芯片设计,true
芯片验证工程师,chip_verification,芯片验证,false
芯片测试工程师,chip_test,芯片测试,false
FPGA工程师,fpga_engineering,FPGA,false
电源工程师,power_engineering,电源,false
结构工程师,structural_engineering,结构,false
热设计工程师,thermal_engineering,热设计,false
硬件工程师,hardware_engineering,通用硬件,true
AI产品经理,ai_product,AI产品,false
算法工程师（待细分）,general_algorithm,,true
智能体算法工程师,agent_algorithm,,false
导航定位算法工程师,navigation_positioning_algorithm,,false
智能体应用工程师,agent_application,,false
AI平台基础设施工程师,ai_platform_infra,,false
智能硬件产品经理,smart_hardware_product,,false
软件开发工程师（待细分）,general_software_engineering,,true
数据科学家,data_scientist,,false
数据中心暖通工程师,data_center_hvac,,false
安全运营工程师,security_operations,,false
游戏技术美术,game_technical_artist,,false
产品经理,product_manager,,false
数据产品经理,data_product_manager,,false
技术产品经理,technical_product_manager,,false
安全合规工程师,security_compliance_engineer,,false
研发项目经理,research_development_project_manager,,false
游戏项目经理,game_project_manager,,false
交付项目经理,delivery_project_manager,,false
IT项目经理,it_project_manager,,false
UI/UX设计师,ui_ux_design,,false
